PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),NO ( µg/m3 )
"79,53","48,87","5,63","818,63","47,85","290,88","203,08"
"113,05","59,36","7,19","863,63","53,07","343,72","190,49"
"86,16","52,86","3,16","624,10","76,71","243,81","110,08"
"62,11","45,93","3,57","301,15","63,85","170,90","70,10"
"43,63","35,02","5,17","488,31","62,28","180,00","79,60"
"34,74","25,83","2,87","567,15","78,55","177,46","64,68"
"28,63","24,80","3,52","400,03","69,12","145,08","49,48"
"33,83","24,15","2,92","379,05","70,37","144,22","48,15"
"49,19","30,80","4,18","512,98","100,06","254,74","101,95"
"73,51","45,48","5,73","850,53","136,12","342,80","135,67"
"68,05","45,21","3,90","547,82","109,40","248,63","91,26"
"74,68","52,79","3,49","625,75","123,22","276,04","100,21"
"79,19","54,08","3,89","313,47","89,91","193,46","68,18"
"28,37","18,84","2,37","275,10","59,32","145,72","57,13"
"29,77","21,13","3,23","372,03","68,55","181,27","74,28"
"28,58","19,59","2,93","337,97","76,72","168,35","62,02"
"30,20","23,59","3,19","406,47","59,97","133,37","47,94"
"23,71","21,20","3,45","354,88","56,63","125,86","45,25"
"25,44","20,44","3,23","340,92","62,07","135,32","47,90"
"31,50","21,80","3,45","436,09","53,93","118,65","42,35"
"25,70","19,78","2,98","351,38","52,90","120,02","43,85"
"30,47","23,40","3,18","299,52","60,98","131,10","45,84"
"30,99","24,75","4,13","390,12","58,52","128,29","45,76"
"32,47","24,05","3,85","371,05","60,69","141,39","52,75"
"28,99","23,04","2,53","325,72","57,89","143,63","55,97"
"33,21","24,46","4,32","395,15","60,48","157,82","63,60"
"34,66","22,95","3,93","398,13","64,57","152,53","57,40"
"30,60","24,19","3,47","368,55","59,70","139,81","52,38"
"35,32","24,33","4,30","370,13","68,85","163,37","61,60"
"37,55","26,35","4,02","403,04","63,53","156,41","60,63"
"40,53","29,10","3,05","441,30","76,52","190,35","74,47"
"46,74","32,72","4,16","474,63","68,40","153,19","55,25"
"34,25","23,97","2,58","419,82","53,52","121,73","44,87"
"39,08","27,36","3,73","475,41","75,49","204,03","84,56"
